sample,site,unit,dickinson,Qps,QpT,Qms,Qrv,Qrm,Qrg,Kor,Kan,Kpg,Kmi,Kp,Krg,Krm,Krv,Ps,Pmy,Ptw,Prg,Prm,Prv,As,Atw,Arg,Arm,Arv,Lcmif,Lcmir,Lcmic,Lcmich,Lcmi,Lssc,Lcsf,Lcs,Lch,Lchb,Lss,Lsp,Lvf,Lva,Lvg,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,Sed,Gra,Volc,Met,C,Ap,Gr,Hb,Px,Rt,St,Zr,Mb,Mm,Mrg,Mrm,Chl,Gl,Op,Ph,Si,AR,Bz,Sh,Das,Ech,Fc,Md,Oo,Ra,Se,Fph,Pore,provenance
JR159,Saut de la Pucelle,VS,317,12,1,167,8,0,12,19,7,1,0,0,10,4,0,20,0,0,3,0,18,2,0,0,0,0,4,7,0,1,12,0,0,0,6,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,30,1,1,1,251,0,0,0,0,0,0,0,2,1,0,0,3,7,0,0,2,39,0,1,0,0,5,0,0,0,0,1,7,quartzose
JR160,Crête des Voirons 4,VS,321,13,2,237,0,0,3,39,3,0,0,0,2,0,0,14,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,quartzose
JR161,Crête des Voirons 4,VS,319,22,1,218,0,0,6,16,0,3,0,0,3,0,0,28,0,0,5,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,quartzose
JR162,Crête des Voirons 4,VS,319,18,1,223,3,0,4,29,0,0,0,0,0,0,0,30,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,quartzose
JR163,Crête des Voirons 6,VS,304,32,0,202,0,0,5,37,0,4,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,quartzose
JR164,Crête des Voirons 6,VS,312,47,1,196,0,0,5,15,35,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,109,quartzose
JR165,Crête des Voirons 5,VS,353,17,3,186,0,0,16,29,0,23,0,0,24,0,0,12,0,0,5,0,0,1,0,0,0,0,2,6,0,0,11,2,0,0,9,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,32,11,1,1,263,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,39,1,0,0,0,6,0,0,1,0,1,6,quartzose
JR166,Crête des Voirons 5,VS,321,57,0,188,0,0,8,0,6,16,0,0,5,0,0,15,0,0,3,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,19,10,1,0,170,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,10,0,1,0,0,1,0,0,0,0,0,53,quartzose
JR167,Crête des Voirons 5,VS,313,74,2,146,0,0,14,0,0,30,0,0,6,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,1,8,4,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,2,81,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,12,1,0,0,2,1,0,0,0,0,0,5,quartzose
JR168,Crête des Voirons 5,VS,310,25,1,213,0,0,1,0,9,45,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,quartzose
