################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR218,torrent de Curseilles,VS,291,8,3,3,138,2,2,3,0.001,4,2,0.001,0.001,23,L2,2.70568948153754,0.553498822950706,0.208902690911741,3.17447196447037
JR219,torrent de Curseilles,VS,227,72,10,3,144,0.001,6,1,2,2,5,38,4,9,L4,NA,NA,NA,NA
JR22,Allinges,VS,300,9,1,8,14,0.001,2,8,1,0.001,0.001,0.001,0.001,55,L2,1.58359846578651,0.613663501472246,0.0914030659877102,2.91647931779132
JR220,torrent de Curseilles,VS,297,4,3,0.001,122,0.001,2,4,0.001,1,0.001,0.001,0.001,20,L2,2.74824768872797,0.621738379489052,0.128571724350268,3.11026202291878
JR221,torrent de Curseilles,VS,289,10,2,20,261,0.001,2,3,0.001,1,10,1,2,5,L4,NA,NA,NA,NA
JR222,torrent de Curseilles,VS,278,5,6,7,420,2,1,5,1,2,14,1,4,4,L4,3.22052016055955,0.743675131088593,0.0706375399908861,3.11587661499895
JR223,torrent de Curseilles,VS,293,9,3,11,221,0.001,0.001,4,4,0.001,14,3,8,4,L4,NA,NA,NA,NA
JR224,torrent de la Molertaz,VC,190,101,12,3,100,0.001,2,4,2,0.001,10,1,0.001,6,L2,2.38305661017639,0.945903653735592,-0.253680154723226,3.05186718849433
JR225,torrent de la Molertaz,VC,214,81,12,0.001,48,0.001,5,3,1,0.001,3,0.001,0.001,3,L2,NA,NA,NA,NA
JR227,torrent de Curseilles,VS,286,15,1,7,284,0.001,0.001,4,2,1,5,0.001,1,1,L4,NA,NA,NA,NA
JR228,torrent de Curseilles,VS,296,15,1,3,298,2,0.001,8,0.001,1,4,0.001,1,1,L4,2.90339715057966,0.707972692869117,0.105461378068272,3.05735348007008
JR229,torrent de Curseilles,VS,309,7,0.001,0.001,192,0.001,0.001,1,0.001,0.001,1,0.001,0.001,14,L2,NA,NA,NA,NA
JR23,Allinges,VS,305,8,3,15,170,0.001,10,15,2,0.001,3,1,4,6,L3,2.92871093207451,0.712116155924346,0.260455554737339,2.58355206840579
