################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS garnet geochemistry from the Voirons Flysch. Data include element and calculated oxide composition and enb-member abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,provenance,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr.1,F,Er,Re,Ho,Ag,Bi,Tl,Sr,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,BaO,Cs2O,ZnO,Cr2O3,NiO,Almandine,Andradite,Grossular,Pyrope,Spessartine,Uvarovite
JR349,quartzose,Alm,90.18,18.49,2.82,16.76,27.71,6.29,0,0,0,35.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5862979649278,0,21.1474293562248,30.2662842181725,0,3.12283387234269,5.87715458833217,0,0,0,0,0,70.4779679916,0,16.9742399815,12.5477920268,0,0
JR349,quartzose,Alm-Prp,90.28,19.97,3.33,19.34,25.41,4.53,0,0,2.21,40.85,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3678109650725,0,23.1035587091078,33.2259468577933,1.80410290476138,3.49126527583731,4.00731528742768,0,0,0,0,0,67.9163457015,1.0150141478,11.4788230152,15.1432950401,4.4465220953,0
JR349,quartzose,Alm-Prp,90.93,18.86,3.44,16.15,28.369,3.58,0,0,0,43.73,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.3681489429376,0,19.2918799973117,35.5667675659558,0,3.6064230671021,3.16678042669285,0,0,0,0,0,75.5031868771,4.7176245307,4.7612449491,15.0179436432,0,0
JR349,quartzose,Alm-Prp,91.5,19.19,3.9,18.61,28.87,0,0,0,0,45.54,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.129201273201,0,21.7086342747279,36.1694620549088,0,3.99270239716237,0,0,0,0,0,0,83.9431776774,0,0,16.0568223226,0,0
JR349,quartzose,Alm-Prp,90.4,26.76,2.19,15.5,25.29,0,0,0,0,42.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0746527110808,0,20.6107608731673,38.758811250259,0,2.55577516549289,0,0,0,0,0,0,89.5449913835,0,0,10.4550086165,0,0
JR349,quartzose,Alm-Prp,89.96,25.32,4.43,16.36,26.43,0,0,0,0,33.84,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8729220820697,0,22.3458576906894,31.4707416646684,0,5.31047856257245,0,0,0,0,0,0,78.4063254998,0,0,21.5936745002,0,0
JR349,quartzose,Alm-Prp,89.16,24.68,2.46,11.77,23.05,0,0,0,4.03,46.71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9906956965655,0,15.7809562402654,42.6412192715891,3.6923981098714,2.89473068170862,0,0,0,0,0,0,73.3245989986,0,0,15.4657370743,11.2096639271,0
JR349,quartzose,Alm-Prp,90.98,19,3.89,13.88,27.51,4.74,0,3.63,0,40.32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7042202594062,3.87979212398987,16.8021185502192,33.2321160836137,0,4.13276189270651,4.2489910900644,0,0,0,0,0,67.012814567,8.531595158,5.4866434578,18.9689468172,0,0
JR349,quartzose,Alm-Prp,89.06,19.25,3.09,19.93,26.38,3.93,0,0,0,35.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.655383485474,0,25.1266614035845,30.1298867640199,0,3.41902418324398,3.66904416367763,0,0,0,0,0,75.8267803108,0,10.5264977571,13.6467219321,0,0
JR349,quartzose,Alm-Prp,89.31,28.32,9.56,14.37,22.26,0,0,0,0,35.74,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8600287377275,0,19.8762547335932,33.6585364818099,0,11.6051800468693,0,0,0,0,0,0,50.3735113303,0,0,49.6264886697,0,0
JR349,quartzose,Alm-Prp,90.71,27.44,3.37,12.76,23.65,3.64,0,0,0,42.23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2126288030844,0,17.2565823124444,38.8855359104492,0,3.99990998813806,3.64534298588399,0,0,0,0,0,71.3257456706,11.3492367497,0,17.3250175797,0,0
