################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS tourmaline geochemistry from the Voirons Flysch. Data include element and calculated oxide composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Fe,Na,Ca,Ag,As,Ba,C,Cd,Co,Cr,Cs,Cu,Dy,Eu,Ga,Ge,Hf,I,Ir,K,La,Lu,Nb,Os,P,Pr,Re,Rh,Ru,Sb,Sc,Sm,Sr,Tb,Te,Th,Ti,U,V,Y,Yb,Zn,Zr
JR273,tourmaline,"93,71","35,04","5,2","33,28","27,47","9,45","2,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"93,44","36,55","7,1","33,86","33,23","8,02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"92,25","32,68","5,06","31,89","26,26","13,08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"93,45","29,4","7,9","33,28","32,2","9,97","2,29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,tourmaline,"93,8","27,79","5,12","33,63","34,26","7,46","3,33",0,0,0,0,"2,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,32",0,0,0,0,0,0
JR273,schorl,"91,35","33,6","2,05","28,81","25,36","12,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,09",0,0,0,"2,74",0,0
JR273,schorl,"91,48","32,54","2,21","36,11","24,21","11,04",0,0,0,0,0,0,0,"2,14",0,0,0,0,0,"3,51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"92,43","30,64",0,"34,37","26,77","18,07",0,0,"2,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"93,39","35,22",0,"35,76","29,42","15,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"92,55","31,96","4,7","30,08","26,21","16,26",0,0,0,0,0,0,0,"2,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"90,75","31,48","3,78","26,89","26,11","17,39","2,61","4,19",0,0,0,0,0,0,0,0,0,0,0,0,"2,76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"92,06","38,07",0,"30,53","28,22","14,58","2,27",0,0,"2,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"92,19","35,26","2,76","33,23","30,64","13,59",0,0,0,0,0,0,0,0,0,0,0,0,0,"3,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"93,27","34,81","4,27","33,72","29,39","13,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR273,schorl,"91,05","29,58",0,"34,61","21,57","17,21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,5",0,"2,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0
