############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Curseille stream,,Voirons Sandstone,,2011-04-20,148,127,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,151,134,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,151,102,63,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,155,130,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,156,134,54,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,162,142,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,164,146,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-11,175,58,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-24,186,109,52,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-26,209,110,57,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-26,212,106,58,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-26,215,109,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-26,217,112,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-26,219,112,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,26/07/10,227,115,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,26/07/10,228,115,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-27,250,107,52,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-08-05,264,115,52,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,05/08/10,280,127,38,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,05/08/10,282,133,38,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,05/08/10,289,121,38,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,05/08/10,290,177,90,fault ?,,,Voirons,
Curseille stream,,Voirons Sandstone,,18/07/10,160d,137,60,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,2010-07-24,181b,112,56,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,05/08/10,285b,120,38,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,34a,134,65,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,38a,128,63,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,124,62,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,124,78,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,128,68,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,123,72,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,134,65,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,128,63,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,127,59,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,122,64,bed,,,Voirons,
Curseille stream,,Voirons Sandstone,,,lina,125,58,bed,,,Voirons,
